Fund,Investment,Wealth,Absolute Return,Annualized Return,Half-Yr Return Mean,Half-Yr Return Std Dev,Half-Yr Sharpe,Annual Return Mean,Annual Return Std Dev,Annual Sharpe
Birla_Advantage_Fund,72000.0,103540.142488,0.438057534558,0.0961538538337,0.247324948841,0.910717690549,0.222159897562,0.310744956136,0.536100301028,0.411760552479
Birla_Dividend_Yield_Plus,72000.0,117467.711616,0.631495994661,0.130698780715,0.266921263271,0.617453333988,0.359413822964,0.479058146477,0.529005079492,0.735452572308
Birla_Equity_Fund,72000.0,107304.78529,0.490344240145,0.10586784333,0.242574403021,0.837812714401,0.235821681415,0.32504362464,0.552919824513,0.425095310783
Birla_India_GenNext_Fund,72000.0,124162.482318,0.724478921089,0.151094697416,0.208786616325,0.50007921496,0.32752134347,0.9917415452,1.29043412863,0.698789287412
DSPBR_Opp_Fund,72000.0,109588.022265,0.522055864786,0.115525124967,0.252756962776,0.675508662101,0.307556326709,0.889016554356,1.10675117699,0.721947779199
DWS_Inv_Opp_Fund,72000.0,95426.6452171,0.325370072459,0.0767834931612,0.173797585964,0.599923608738,0.214689977338,0.640942451954,0.867318606824,0.635224988394
Franklin_India_FlexiCap,72000.0,116253.919199,0.614637766647,0.127832575142,0.262717000643,0.793783959786,0.27427739999,0.366502425075,0.533486131568,0.518293557626
Franklin_India_Growth_Fund,72000.0,104399.796793,0.449997177675,0.103039811552,0.293786501884,0.777619550123,0.319933445404,0.833122930527,1.01617815762,0.731291973711
Franklin_India_PrimaPlus,72000.0,111968.274891,0.555114929037,0.121604415029,0.216810154915,0.591827385767,0.29030450271,0.782352185249,0.999989012162,0.692359792787
HDFC_Capital_Builder_Fund,72000.0,120083.93257,0.667832396807,0.136791107059,0.277673286862,0.753491410118,0.308793549253,0.442943191528,0.61169483915,0.576992266305
HDFC_Core_Satellite_Fund,72000.0,105621.802041,0.466969472787,0.101562072337,0.295595055156,0.860221327627,0.291314626955,0.476109358668,0.641975414676,0.601439478587
HDFC_Equity,72000.0,120351.899441,0.671554158902,0.137408658862,0.361278043853,0.952415858462,0.332079774862,0.494919240475,0.630623235849,0.64209375338
HDFC_Growth_Fund,72000.0,105205.909252,0.461193184049,0.104026594013,0.252172513008,0.660431426938,0.313692693227,0.871342542171,1.04554673091,0.747305231868
HDFC_Premier_Multicap,72000.0,104213.151855,0.447404886873,0.0979125149548,0.294865255886,0.807924156848,0.309268207626,0.461264933646,0.6242941054,0.59469556165
HSBC_India_Opp_Fund,72000.0,100981.035055,0.402514375769,0.0925394304097,0.168033893108,0.517661573955,0.23767244721,0.670754950047,0.909900437399,0.638262084703
ICICIPru_Dynamic_Plan,72000.0,120050.476567,0.667367730091,0.141442464292,0.245648827553,0.542536379827,0.36983478899,1.03672792673,1.29433034695,0.731442269712
ICICIPru_Export_And_Services,72000.0,139345.79191,0.935358220973,0.184491922706,0.210713536739,0.70950107428,0.233563475443,0.630590745211,0.844941924067,0.639796333704
Principal_Growth_Fund,72000.0,104673.896305,0.453804115351,0.102602402866,0.181208002567,0.654007375356,0.208266768388,0.614116455317,0.897309680462,0.584097627306
Reliance_Equity_Opp_Fund,72000.0,140348.166139,0.94928008526,0.180467703193,0.343639262517,0.797751709698,0.374351140696,0.5271530509,0.682049317973,0.640940529343
Reliance_Growth_Fund,72000.0,103919.093794,0.44332074714,0.100570970774,0.312376933098,0.822663466209,0.32501374387,0.860612297058,1.05096490906,0.733242651979
Reliance_Regular_Savings_Equity,72000.0,105293.068742,0.462403732533,0.108362448215,0.318805122375,0.96768717227,0.282947971433,0.749797363281,0.927084500932,0.711690641595
Reliance_Vision_Fund,72000.0,95155.2574872,0.321600798433,0.0759933739901,0.22669908762,0.678474566924,0.267805303953,0.664647626877,0.825076792707,0.696477748443
SBI_Magnum_Multicap,72000.0,98406.2336036,0.366753244494,0.0824043348432,0.182480634583,0.739946904988,0.185797972336,0.259557232261,0.52181069961,0.324940121748
SBI_Magnum_Multipler_Plus,72000.0,111872.333124,0.553782404507,0.117267332971,0.247442364693,0.717305796168,0.282226026576,0.402442795038,0.585537022916,0.533600409215
Tata_Dividend_Yield,72000.0,123543.529802,0.715882358361,0.144674675167,0.284379249149,0.677245962546,0.35345983939,0.46160826683,0.601814505298,0.617479744272
Tata_Equity_Opp_Fund,72000.0,107742.893093,0.496429070739,0.110733154416,0.23019644022,0.70805347627,0.261557137175,0.73455266118,0.978434418759,0.658759185923
Tata_Equity_PE,72000.0,108049.376264,0.500685781439,0.111534032226,0.258765451908,0.70600222792,0.302782970725,0.697078678608,0.828000947877,0.733185970577
Tata_Ethical_Fund,72000.0,123417.735851,0.714135220154,0.145841102302,0.26184690237,0.714544040237,0.303475909335,1.08109688282,1.3531080502,0.732459527286
Taurus_Starshare,72000.0,107024.217135,0.486447460214,0.108847374469,0.385759863853,1.10581311244,0.308153213251,0.982760571241,1.3050893811,0.684060865232
UTI_Service_Industries,72000.0,115489.562323,0.604021698937,0.130395363271,0.230612947941,0.725563588596,0.255818994859,0.685030055046,0.876591218115,0.678799927206
