Fund,Investment,Wealth,Absolute Return,Annualized Return,Half-Yr Return Mean,Half-Yr Return Std Dev,Half-Yr Sharpe,Annual Return Mean,Annual Return Std Dev,Annual Sharpe
Birla_Advantage_Fund,72000.0,84830.5179422,0.178201638086,0.0537709578872,0.0927654981613,0.400306865315,0.119322205787,1.45990514557,1.04081353453,1.31618690583
Birla_Dividend_Yield_Plus,72000.0,86744.1432645,0.204779767562,0.0598762273788,0.098215495348,0.423421095581,0.125679839534,1.22026703358,1.16033460369,0.974087155536
Birla_Equity_Fund,72000.0,87509.6739126,0.215412137675,0.0639762565494,0.114364760121,0.449069522532,0.154463299423,1.42078207334,1.02266621994,1.30128682007
Birla_India_GenNext_Fund,72000.0,106926.086884,0.485084540051,0.123813138902,0.154376316071,0.454226682784,0.240796765615,0.909082760811,1.04336172136,0.785041988835
DSPBR_Opp_Fund,72000.0,89083.4860166,0.237270639119,0.0687331214547,0.0612241788344,0.403194539285,0.0402390837514,0.88893879652,1.05883395104,0.754545881091
DWS_Inv_Opp_Fund,72000.0,82100.3739255,0.140282971188,0.0424805246294,0.0150183916092,0.326873714684,-0.09172229838,0.972308442593,0.958516038712,0.920494187847
Franklin_India_FlexiCap,72000.0,91755.4988947,0.274381929093,0.0785279750824,0.072022745826,0.414959428994,0.065121416548,1.37910799503,1.14023742253,1.13056103015
Franklin_India_Growth_Fund,72000.0,83685.4379953,0.162297749935,0.0486149162054,0.0464680498297,0.381944937936,0.00384361640604,0.814190852642,0.985305848176,0.734990920822
Franklin_India_PrimaPlus,72000.0,94218.528261,0.308590670292,0.0852485753596,0.0564037370682,0.357256755251,0.031920283943,0.953188502789,1.01195837612,0.852988149669
HDFC_Capital_Builder_Fund,72000.0,92319.3212722,0.282212795447,0.0801716737449,0.090953848362,0.432468663756,0.106259371402,1.18572803974,1.2099082552,0.905629030162
HDFC_Core_Satellite_Fund,72000.0,79337.4386113,0.101908869601,0.0318051181734,0.0839437752962,0.43892454179,0.0887254450102,1.10473813613,1.12320463292,0.903431223828
HDFC_Equity,72000.0,89382.9411498,0.241429738191,0.0693928427994,0.0861635351181,0.442852912278,0.0929508059603,1.18936705828,1.21256183383,0.906648244739
HDFC_Growth_Fund,72000.0,84345.5224524,0.171465589617,0.0503919571638,0.0776481866837,0.38215370296,0.0854320825123,0.89447124958,1.0753184648,0.748123719541
HDFC_Premier_Multicap,72000.0,79270.1576441,0.100974411724,0.0307407535613,0.0255100011826,0.422996049702,-0.0460760776162,1.08898691177,1.21110113344,0.824858374078
HSBC_India_Opp_Fund,72000.0,88709.2318629,0.232072664762,0.0668043397367,0.058730969429,0.345449349766,0.039748140902,0.989199898243,1.02268266122,0.879256031553
ICICIPru_Dynamic_Plan,72000.0,101715.369447,0.412713464537,0.107875739038,0.0709360909462,0.360303554833,0.0719839995979,0.819993164539,1.05438039952,0.692343261378
ICICIPru_Export_And_Services,72000.0,115892.322187,0.609615585934,0.155273093283,0.060931448503,0.370043289991,0.043052931735,1.04390364408,1.01859750309,0.936487318292
Principal_Growth_Fund,72000.0,89988.302304,0.249837532,0.0724412843585,0.0357237013904,0.422175544112,-0.0219726100648,1.04088429451,1.02214988537,0.930278727333
Reliance_Equity_Opp_Fund,72000.0,101108.94969,0.404290967923,0.109005722404,0.149822337627,0.474917207212,0.220717076652,1.24183179379,1.20446881147,0.956298563168
Reliance_Growth_Fund,72000.0,83737.0831304,0.163015043478,0.0490432694554,0.0182645624334,0.376203318472,-0.0710664586245,0.890123341084,0.981022843572,0.815601131335
Reliance_Regular_Savings_Equity,72000.0,87215.2018436,0.211322247827,0.0607564665377,0.0677166080475,0.424894976763,0.0534640541541,0.728797717094,0.864029816329,0.739323695806
Reliance_Vision_Fund,72000.0,79310.3669737,0.101532874635,0.031200940907,0.0293686433272,0.364634546691,-0.0428685565168,0.97981957674,0.97224205938,0.915224319042
SBI_Magnum_Multicap,72000.0,83441.8593187,0.158914712759,0.0483236029744,0.0374206987294,0.390513181314,-0.0194085670683,1.37484847546,1.10607148033,1.1616324065
SBI_Magnum_Multipler_Plus,72000.0,91811.646417,0.275161755792,0.0779623687267,0.0593794095516,0.407746257586,0.0352655831515,1.16047148943,1.15234533804,0.92895024963
Tata_Dividend_Yield,72000.0,93745.1646998,0.302016176386,0.0833778046072,0.105173819065,0.444274097285,0.135443005642,1.1313076067,1.27124673351,0.819123132626
Tata_Equity_Opp_Fund,72000.0,89891.4224096,0.248491977912,0.0709449127316,0.0244216513634,0.370866442888,-0.055487221967,0.932252471447,0.974269255605,0.864496612822
Tata_Equity_PE,72000.0,85780.9503669,0.191402088429,0.056990878284,0.0735722144445,0.368717110483,0.0774908829347,1.07449064255,0.91344455253,1.07777821853
Tata_Ethical_Fund,72000.0,99420.4421963,0.380839474948,0.101859453321,0.066659733057,0.418136791051,0.0518005913867,0.994758319855,1.17157845085,0.772255856362
Taurus_Starshare,72000.0,87526.9180773,0.215651639963,0.0611072212458,0.0589100217819,0.421542651443,0.0329978988705,0.826133890152,1.0944586496,0.672600915914
UTI_Service_Industries,72000.0,96041.1334353,0.333904631046,0.0929773658514,0.0392661235549,0.378467923517,-0.0151502309411,1.00544691801,1.01205896433,0.904539113111
