Fund,Units
Franklin India Bluechip Fund - (G),117.090560118
Franklin India Opportunities Fund - (G),809.293498105
HDFC Large Cap Fund (G),198.160295822
HDFC Top 200 Fund (G),685.056147076
ICICI Pru Top 100 Fund - (G),51.4285464227
ICICI Pru Top 200 Fund - (G),377.978424868
LIC NOMURA MF Equity Fund - (G),329.639264728
Sundaram Growth Fund - (G),91.216320585
Tata Pure Equity Fund - (G),192.819649798
UTI-Equity Fund (G),339.966606131
UTI-MasterPlus (G),64.5046068488
UTI-Mastershare (G),99.2352190786
UTI-Top 100 Fund (G),192.298982451
