Fund,Units
Birla_Dividend_Yield_Plus,22.6554496699
DSPBR_Opp_Fund,27.2554580591
DWS_Inv_Opp_Fund,147.126727123
HDFC_Core_Satellite_Fund,124.622721532
HDFC_Premier_Multicap,617.209172917
HSBC_India_Opp_Fund,92.7250491933
ICICIPru_Export_And_Services,376.990746855
Principal_Growth_Fund,256.683214799
Reliance_Equity_Opp_Fund,166.275672499
SBI_Magnum_Multicap,457.124140319
Tata_Equity_Opp_Fund,61.039844836
Tata_Ethical_Fund,69.2667692518
Taurus_Starshare,145.585129381
UTI_Service_Industries,25.6278831369
