Fund,Units
Franklin India Bluechip Fund - (G),18.4051482995
Franklin India Opportunities Fund - (G),1604.83515836
HDFC Large Cap Fund (G),517.603937088
ICICI Pru Top 100 Fund - (G),319.964219196
ICICI Pru Top 200 Fund - (G),34.1635529666
LIC NOMURA MF Equity Fund - (G),1656.05810983
Sundaram Growth Fund - (G),110.365851676
Tata Pure Equity Fund - (G),145.738811561
UTI-Equity Fund (G),718.50604399
UTI-MasterPlus (G),216.272688908
UTI-Mastershare (G),126.236568815
UTI-Top 100 Fund (G),135.881097303
