Fund,Units
DSP BR Opportunities Fund,0.0
Franklin India Prima Plus,37.8214826021
HDFC Capital Builder,0.0
HDFC Equity Fund,474.813314518
HDFC Growth Fund,186.812844189
Principal Growth Fund,0.0
Reliance Growth Fund,103.298702497
Reliance Vision Fund,0.0
SBI Contra Fund,79.6754455972
Tata Ethical Fund,0.0
Taurus Starshare,0.0
UTI-MNC Fund,1728.8170357
UTI-Services Industries Fund,0.0
