Date,Franklin India Bluechip Fund - (G),Franklin India Opportunities Fund - (G),HDFC Large Cap Fund (G),HDFC Top 200 Fund (G),ICICI Pru Top 100 Fund - (G),ICICI Pru Top 200 Fund - (G),LIC NOMURA MF Equity Fund - (G),Sundaram Growth Fund - (G),Tata Pure Equity Fund - (G),UTI-Equity Fund (G),UTI-MasterPlus (G),UTI-Mastershare (G),UTI-Top 100 Fund (G)
01-01-2002,-0.214930664126,-0.167458684798,-0.281489784252,-0.222093482348,-0.207355032243,-0.279594791491,-0.364796834726,-0.228891143316,-0.337184448341,-0.365175063122,-0.310163097507,-0.204736581075,-0.303815868695
01-02-2002,-0.206825906012,-0.226203538341,-0.179794678133,-0.14022643105,-0.225834752959,-0.240566737353,-0.295580017072,-0.19184703033,-0.30919443443,-0.3218284192,-0.346057802898,-0.285273173906,-0.349326818199
01-03-2002,-0.0278810633317,-0.121644012936,0.00783422344394,-0.0318002175616,-0.0905592682377,-0.100998248596,-0.15634300243,-0.0923001545049,-0.175394957996,-0.186258356756,-0.194428029436,-0.209350533705,-0.167628965376
01-04-2002,0.0892236243909,0.00569621499715,0.122243515508,0.188135468182,0.0917560269496,0.19191021967,0.0324238325749,0.0863719896416,-0.0310639143588,-0.0522989936735,-0.0732228712728,-0.102457157335,-0.0194942577457
01-05-2002,0.0190575438091,-0.0276667007396,0.0951005388823,0.135475557715,0.0551114960398,0.148777099228,0.0260271704521,0.0738194494965,-0.0730177729022,-0.0567956324534,-0.0699338316459,-0.122031521423,-0.0266053244597
01-06-2002,-0.0448147617521,-0.130605736318,-0.00590165771637,0.0332613594093,-0.104687888965,-0.072178704453,-0.103629223063,-0.0363791307412,-0.202376631101,-0.0953606198637,-0.117787677268,-0.184356703998,-0.0424569678172
01-07-2002,0.0761750374984,-0.0526445986612,0.146667287215,0.163094085529,0.0315012761429,0.198418488832,0.0456518841731,0.12055901253,-0.0269391642606,0.0810287801104,0.0463740200995,-0.0360960824061,0.120733796907
01-08-2002,0.071179750214,-0.0999078486907,0.0590840511507,0.12950108714,-0.0481925987015,0.0612951643835,0.0136003562571,0.0855301519964,-0.0977962561034,0.0432202354941,0.0110777101376,-0.034089757871,0.102093725324
01-09-2002,0.127535085793,-0.000440773733881,0.0884393583619,0.191566730341,0.0159602741817,0.095216867144,0.0902204483137,0.139276946105,-0.0389558408712,0.100612367941,0.0697605998446,0.0192340995855,0.162662120467
01-10-2002,0.226811332457,0.215675572142,0.148366083103,0.227470356751,0.0769436007524,0.0854667699368,0.130721804025,0.224367359466,0.0260081289318,0.164509583559,0.131430883056,0.140802912783,0.232316572049
