Date,Fund
01-01-2008,HSBC_India_Opp_Fund
01-02-2008,ICICIPru_Dynamic_Plan
03-03-2008,Birla_Advantage_Fund
01-04-2008,Birla_Advantage_Fund
02-05-2008,HDFC_Core_Satellite_Fund
02-06-2008,HDFC_Premier_Multicap
01-07-2008,Reliance_Equity_Opp_Fund
01-08-2008,Franklin_India_FlexiCap
01-09-2008,SBI_Magnum_Multicap
01-10-2008,ICICIPru_Export_And_Services
03-11-2008,UTI_Service_Industries
01-12-2008,Principal_Growth_Fund
01-01-2009,Tata_Ethical_Fund
02-02-2009,SBI_Magnum_Multicap
02-03-2009,Tata_Ethical_Fund
01-04-2009,Tata_Equity_Opp_Fund
04-05-2009,HSBC_India_Opp_Fund
01-06-2009,ICICIPru_Export_And_Services
01-07-2009,ICICIPru_Export_And_Services
03-08-2009,ICICIPru_Export_And_Services
01-09-2009,ICICIPru_Export_And_Services
01-10-2009,ICICIPru_Export_And_Services
03-11-2009,ICICIPru_Export_And_Services
01-12-2009,Birla_Advantage_Fund
04-01-2010,ICICIPru_Export_And_Services
01-02-2010,Birla_Advantage_Fund
02-03-2010,Birla_Advantage_Fund
01-04-2010,HSBC_India_Opp_Fund
03-05-2010,Birla_Advantage_Fund
01-06-2010,Birla_Advantage_Fund
01-07-2010,SBI_Magnum_Multicap
02-08-2010,Birla_Advantage_Fund
01-09-2010,Birla_Advantage_Fund
01-10-2010,Principal_Growth_Fund
01-11-2010,ICICIPru_Export_And_Services
01-12-2010,Birla_Advantage_Fund
03-01-2011,DWS_Inv_Opp_Fund
01-02-2011,Principal_Growth_Fund
01-03-2011,Principal_Growth_Fund
01-04-2011,SBI_Magnum_Multicap
02-05-2011,Principal_Growth_Fund
01-06-2011,SBI_Magnum_Multicap
01-07-2011,Birla_Equity_Fund
01-08-2011,SBI_Magnum_Multicap
02-09-2011,Principal_Growth_Fund
03-10-2011,Birla_Equity_Fund
01-11-2011,DWS_Inv_Opp_Fund
01-12-2011,DWS_Inv_Opp_Fund
02-01-2012,Franklin_India_Growth_Fund
01-02-2012,DWS_Inv_Opp_Fund
01-03-2012,DSPBR_Opp_Fund
02-04-2012,DSPBR_Opp_Fund
02-05-2012,Taurus_Starshare
01-06-2012,DWS_Inv_Opp_Fund
02-07-2012,DSPBR_Opp_Fund
01-08-2012,DSPBR_Opp_Fund
03-09-2012,DSPBR_Opp_Fund
01-10-2012,DSPBR_Opp_Fund
01-11-2012,DSPBR_Opp_Fund
03-12-2012,DWS_Inv_Opp_Fund
01-01-2013,Reliance_Vision_Fund
01-02-2013,HDFC_Core_Satellite_Fund
01-03-2013,HDFC_Core_Satellite_Fund
01-04-2013,HDFC_Core_Satellite_Fund
02-05-2013,HSBC_India_Opp_Fund
03-06-2013,Reliance_Vision_Fund
01-07-2013,Tata_Equity_PE
01-08-2013,Tata_Equity_PE
02-09-2013,Birla_Dividend_Yield_Plus
01-10-2013,HDFC_Core_Satellite_Fund
01-11-2013,Reliance_Regular_Savings_Equity
02-12-2013,Tata_Equity_PE
