Fund,Investment,Wealth,Absolute Return,Annualized Return,Half-Yr Return Mean,Half-Yr Return Std Dev,Half-Yr Sharpe,Annual Return Mean,Annual Return Std Dev,Annual Sharpe
Birla_Advantage_Fund,72000.0,103587.040095,0.43870889021,0.101916087419,0.21563752998,0.843606501881,0.202271473252,0.141123415232,0.521292509147,0.0980704965728
Birla_Dividend_Yield_Plus,61200.0,105297.618945,0.720549329162,0.143555560708,0.236208205223,0.6319501251,0.302568506008,0.310098338127,0.462727831555,0.475653987329
Birla_Equity_Fund,69200.0,104251.441032,0.506523714335,0.112510205805,0.235127731164,0.75369395269,0.252261187032,0.18321485122,0.499164455256,0.186741764641
Birla_India_GenNext_Fund,47000.0,96781.7057423,1.05918522856,0.171429766715,0.222371172905,0.640870374461,0.276766066858,0.159558856487,0.545104753971,0.12760640222
DSPBR_Opp_Fund,64700.0,101331.133844,0.566168992947,0.125698874891,0.219325299263,0.694080650983,0.251160004268,0.254952448606,0.495619362689,0.332820831922
DWS_Inv_Opp_Fund,63100.0,85468.9195853,0.354499517992,0.0810007169843,0.12543648373,0.583698796671,0.137804779089,0.0866879737377,0.466880880874,-0.00709394279775
Franklin_India_FlexiCap,61900.0,105202.195803,0.699550820727,0.138670600206,0.254158811569,0.776793709568,0.269259146918,0.153943946958,0.569367050977,0.112307072999
Franklin_India_Growth_Fund,66400.0,97887.7209048,0.474212664229,0.111239570379,0.261195887219,0.758258298767,0.285121689496,0.274371795654,0.528131825877,0.349101846586
Franklin_India_PrimaPlus,54700.0,93060.7201331,0.701292872634,0.13446463123,0.189985337257,0.614318279492,0.236010130412,0.116182094812,0.472160624541,0.0554516693082
HDFC_Capital_Builder_Fund,58700.0,105361.997105,0.794923289685,0.150147832185,0.288194198079,0.776799742511,0.313071934463,0.280683720112,0.631371142608,0.302015260508
HDFC_Core_Satellite_Fund,71600.0,104983.138644,0.466244953133,0.110726881027,0.281753611565,0.860801853766,0.275038454586,0.319259518385,0.596890396394,0.384089809067
HDFC_Equity,57300.0,104170.562391,0.817985382036,0.151610295475,0.400613877508,0.975810926607,0.364429079253,0.368129972617,0.67675575577,0.410975407664
HDFC_Growth_Fund,59200.0,90960.7837343,0.536499725242,0.114212021232,0.250895463096,0.712283513811,0.289063917813,0.238393382231,0.560195141555,0.264895875069
HDFC_Premier_Multicap,63200.0,94529.4279941,0.495718797375,0.109039442241,0.249610705376,0.822518637904,0.248761178102,0.295778828859,0.557140987305,0.369347855477
HSBC_India_Opp_Fund,60500.0,88525.1302082,0.463225292698,0.101171452552,0.177826916088,0.521472053351,0.254715310694,0.0883489274979,0.39412112353,-0.0041892514853
ICICIPru_Dynamic_Plan,49100.0,95144.9740517,0.937779512254,0.161338169873,0.332122101103,0.649443642206,0.442104722324,0.283722990751,0.654709035158,0.295891732584
ICICIPru_Export_And_Services,64200.0,130888.376622,1.03875976046,0.195567020774,0.179591879845,0.716891971792,0.187743600348,0.119309530258,0.519974490649,0.0563672464424
Principal_Growth_Fund,66900.0,99172.6822356,0.482401827138,0.109801380336,0.169252568483,0.625618393781,0.198607601245,0.134691685438,0.477152367477,0.0936633421195
Reliance_Equity_Opp_Fund,57300.0,124360.634773,1.1703426662,0.199537755549,0.390996330976,0.874204091115,0.395784387757,0.462348526716,0.90269420743,0.412485782729
Reliance_Growth_Fund,70700.0,102351.881839,0.447692812426,0.10981426388,0.287767593861,0.846449091088,0.286807081981,0.309234455228,0.569679779197,0.384838049784
Reliance_Regular_Savings_Equity,60800.0,93122.0312954,0.531612356832,0.118006943166,0.33244832429,0.923712864088,0.311187962694,0.196463010311,0.596371691545,0.17851788041
Reliance_Vision_Fund,64900.0,87339.9399754,0.345761786987,0.0816157326102,0.198991417885,0.646951280195,0.238026297496,0.140334093571,0.455977475243,0.110387236878
SBI_Magnum_Multicap,68400.0,94208.4716058,0.377316836341,0.0867550060153,0.173793039719,0.660671457141,0.19494264256,0.113417654236,0.462454227156,0.0506377774514
SBI_Magnum_Multipler_Plus,54600.0,92721.9528056,0.698204263839,0.129145379364,0.225665586335,0.834726026324,0.216436987272,0.253963023424,0.710575598478,0.230746768923
Tata_Dividend_Yield,53200.0,102888.087398,0.933986605224,0.162927511334,0.366563653946,0.761409252145,0.422326958912,0.293765836954,0.729112714529,0.279470969157
Tata_Equity_Opp_Fund,56000.0,90201.384415,0.610739007411,0.120272932947,0.181468047036,0.762585970754,0.178954311081,0.114632207155,0.65901133192,0.0373775168379
Tata_Equity_PE,72000.0,108118.896,0.501651333331,0.119006384909,0.180813373219,0.696026648331,0.195126685946,0.188153879642,0.587905007545,0.166955338673
Tata_Ethical_Fund,48100.0,97093.8802562,1.01858378911,0.164599169791,0.219266148976,0.871630872026,0.199931134347,0.310871961713,0.883870431781,0.249891787044
Taurus_Starshare,54800.0,88156.5349665,0.60869589355,0.122465291619,0.401750628153,1.18410659661,0.301282527413,0.241795913378,0.635195941592,0.238974942122
UTI_Service_Industries,59300.0,101529.507126,0.71213334108,0.140136234462,0.198916351795,0.737603566838,0.208670834463,0.141616311073,0.55385554511,0.0931945369674
