Type,Rank,Investment,Wealth,AbsoluteReturn,AnnualizedReturn,Sharpe
top,1,144000,484653.945447,2.36565239894,0.18790500164,0.519370441735
top,2,144000,468753.283332,2.25523113425,0.18293886371,0.505926086836
top,3,144000,436874.163115,2.03384835497,0.172436086833,0.533047464361
bottom,1,144000,421652.217619,1.92814040014,0.167137624323,0.418999042271
bottom,2,144000,391957.220648,1.72192514339,0.156203185022,0.401517535547
bottom,3,144000,394222.192828,1.73765411686,0.157067169994,0.428810940633
