Fund,Investment,InvPeriod,Wealth,AbsoluteReturn,AnnualizedReturn,Sharpe
Franklin India Bluechip Fund - (G),144000.0,0.590277777778,376872.542937,1.61717043706,0.167921502143,0.746640187725
Franklin India Opportunities Fund - (G),144000.0,0.590277777778,341902.540477,1.37432319776,0.135383039713,0.687308275148
HDFC Large Cap Fund (G),144000.0,0.590277777778,284429.784267,0.97520683519,0.116880133748,0.585599816537
HDFC Top 200 Fund (G),144000.0,0.597222222222,377134.525626,1.61898976129,0.17495219335,0.798444570262
ICICI Pru Top 100 Fund - (G),144000.0,0.590277777778,459385.182302,2.1901748771,0.177216305211,0.830338368204
ICICI Pru Top 200 Fund - (G),144000.0,0.590277777778,329221.294338,1.28625898846,0.145978240669,0.694913022513
LIC NOMURA MF Equity Fund - (G),144000.0,0.590277777778,260095.127154,0.806216160793,0.098081889376,0.583091885429
Sundaram Growth Fund - (G),144000.0,0.590277777778,261678.402289,0.817211127006,0.104501572996,0.587243562099
Tata Pure Equity Fund - (G),144000.0,0.590277777778,393946.527493,1.73573977426,0.172322678566,0.788885536378
UTI-Equity Fund (G),144000.0,0.597222222222,400895.459715,1.78399624802,0.164536421746,0.696807053391
UTI-MasterPlus (G),144000.0,0.590277777778,304466.809012,1.11435284036,0.126992632449,0.640463500125
UTI-Mastershare (G),144000.0,0.590277777778,316896.412398,1.20066953054,0.131841782853,0.697000965431
UTI-Top 100 Fund (G),144000.0,0.590277777778,282818.163138,0.964015021794,0.116305015981,0.646117353779
