Fund,Investment,Wealth,AbsoluteReturn,AnnualizedReturn,Sharpe
Birla_Advantage_Fund,72000.0,84179.5254008,0.169160075011,0.0401357114315,-0.466951146303
Birla_Dividend_Yield_Plus,72000.0,103522.116315,0.437807171048,0.0892633855343,0.418343034235
Birla_Equity_Fund,72000.0,87771.7330281,0.219051847613,0.0497576698661,-0.349223311077
Birla_India_GenNext_Fund,72000.0,119840.286785,0.664448427568,0.132302731276,-0.00266913032878
DSPBR_Opp_Fund,72000.0,93695.5559121,0.301327165446,0.0666267365217,-0.122536987778
DWS_Inv_Opp_Fund,72000.0,83013.5237637,0.152965607829,0.0337462134659,-0.147813502197
Franklin_India_FlexiCap,72000.0,99263.4449461,0.378658957585,0.082546082139,-0.0461845913319
Franklin_India_Growth_Fund,72000.0,90711.4970854,0.259881903964,0.0552563346922,0.105847739617
Franklin_India_PrimaPlus,72000.0,103411.111449,0.436265436788,0.0903225772083,-0.0216900172721
HDFC_Capital_Builder_Fund,72000.0,100971.135324,0.402376879505,0.0862285271287,-0.0407835640965
HDFC_Core_Satellite_Fund,72000.0,83449.4714991,0.159020437488,0.0368729025126,-0.0197921629263
HDFC_Equity,72000.0,100999.921831,0.402776692103,0.084916061908,0.191282969477
HDFC_Growth_Fund,72000.0,93661.6930242,0.300856847558,0.0649531006813,0.0304946783282
HDFC_Premier_Multicap,72000.0,84118.6037463,0.168313940921,0.0389015242457,-0.0589367274
HSBC_India_Opp_Fund,72000.0,93855.0347422,0.303542149197,0.0654762431979,-0.275275088067
ICICIPru_Dynamic_Plan,72000.0,111086.104808,0.542862566776,0.108982786536,0.0590042803062
ICICIPru_Export_And_Services,72000.0,122103.88663,0.695887314302,0.137434663624,-0.406673941738
Principal_Growth_Fund,72000.0,89655.2021015,0.245211140299,0.0552161410451,-0.554144901796
Reliance_Equity_Opp_Fund,72000.0,117296.254561,0.629114646675,0.126442346722,0.0890225717111
Reliance_Growth_Fund,72000.0,86757.9790626,0.204971931425,0.0456832319498,-0.0700780116588
Reliance_Regular_Savings_Equity,72000.0,91562.1477326,0.271696496286,0.0581931710243,0.102197312696
Reliance_Vision_Fund,72000.0,79697.5174666,0.106909964814,0.0252543635666,-0.239477524057
SBI_Magnum_Multicap,72000.0,81830.6017023,0.136536134754,0.0319113686681,-0.542496147935
SBI_Magnum_Multipler_Plus,72000.0,95212.690007,0.322398472319,0.0708110593259,-0.221155731179
Tata_Dividend_Yield,72000.0,108635.05489,0.508820206807,0.103138640523,0.160755742881
Tata_Equity_Opp_Fund,72000.0,92040.8341988,0.278344919428,0.0605332009494,-0.293351883018
Tata_Equity_PE,72000.0,90727.1654518,0.260099520163,0.0569052383304,-0.0148851555529
Tata_Ethical_Fund,72000.0,105534.882446,0.465762256189,0.0979605302215,-0.236420915618
Taurus_Starshare,72000.0,93834.2503188,0.30325347665,0.0654200464487,-0.178627751941
UTI_Service_Industries,72000.0,98513.2889271,0.368240123987,0.0819479927421,-0.366847031528
