Fund,Investment,InvPeriod,Wealth,AbsoluteReturn,AnnualizedReturn,Sharpe
Birla Sun Life Equity Fund,144000.0,0.277777777778,898415.904146,5.23899933435,0.203120677546,1.36495688337
DSP BR Opportunities Fund,144000.0,0.270833333333,1003303.39213,5.96738466757,0.211886600778,1.25823401147
Franklin India Prima Plus,144000.0,0.263888888889,1048553.33823,6.28162040435,0.216377587989,1.24723345748
HDFC Capital Builder,144000.0,0.277777777778,966754.399951,5.71357222188,0.210584709793,1.47936676551
HDFC Equity Fund,144000.0,0.270833333333,1181160.4072,7.20250282777,0.231162906811,1.31621482065
HDFC Growth Fund,144000.0,0.277777777778,934337.946086,5.48845795893,0.204955132678,1.24436850487
Principal Growth Fund,144000.0,0.263888888889,605479.954601,3.20472190695,0.152200725861,1.50744281625
Reliance Growth Fund,144000.0,0.263888888889,1435661.69863,8.96987290719,0.253139783069,1.7233121878
Reliance Vision Fund,144000.0,0.263888888889,934134.842537,5.48704751762,0.20169753693,1.5517625986
SBI Contra Fund,144000.0,0.319444444444,612465.623454,3.25323349621,0.160683787242,0.748893288706
Tata Ethical Fund,144000.0,0.277777777778,949727.815868,5.59533205464,0.208081712015,1.25127432472
Taurus Starshare,144000.0,0.277777777778,921542.959308,5.39960388408,0.205284132063,1.5323147458
UTI-MNC Fund,144000.0,0.291666666667,712878.215918,3.9505431661,0.177701069228,1.01181814547
UTI-Services Industries Fund,144000.0,0.305555555556,465137.6812,2.23012278611,0.131440040283,0.516823772165
