Fund,Investment,InvPeriod,Wealth,AbsoluteReturn,AnnualizedReturn,Sharpe
Franklin India Bluechip Fund - (G),144000.0,0.590277777778,377321.499351,1.62028818994,0.163051983714,0.775055845913
Franklin India Opportunities Fund - (G),144000.0,0.590277777778,317320.977916,1.2036179022,0.127489156649,0.683176581475
HDFC Large Cap Fund (G),144000.0,0.590277777778,304412.431845,1.11397522115,0.12482535392,0.622820462016
HDFC Top 200 Fund (G),144000.0,0.597222222222,386838.530833,1.68637868634,0.179271080345,0.900069187487
ICICI Pru Top 100 Fund - (G),144000.0,0.590277777778,378416.684928,1.62789364533,0.160535824299,0.771145277181
ICICI Pru Top 200 Fund - (G),144000.0,0.604166666667,358633.030562,1.49050715668,0.164943122119,0.873353462267
LIC NOMURA MF Equity Fund - (G),144000.0,0.590277777778,269723.297109,0.873078452148,0.100581087917,0.736686855299
Sundaram Growth Fund - (G),144000.0,0.597222222222,280277.730518,0.946373128598,0.115786837414,0.690398461986
Tata Pure Equity Fund - (G),144000.0,0.590277777778,511614.3759,2.55287761042,0.200104127824,0.787571946343
UTI-Equity Fund (G),144000.0,0.583333333333,389252.194734,1.70314024121,0.154508087039,0.781702554761
UTI-MasterPlus (G),144000.0,0.590277777778,324104.916917,1.2507285897,0.135561366007,0.795576375422
UTI-Mastershare (G),144000.0,0.597222222222,325234.47598,1.25857274986,0.137453720719,0.824606096041
UTI-Top 100 Fund (G),144000.0,0.597222222222,299740.158602,1.08152887918,0.124648656324,0.767417646388
